seqlen,flop_v32,flop_pro,flop_flash,kv_v32,kv_pro,kv_flash,flop_ratio_pro,flop_ratio_flash,kv_ratio_pro,kv_ratio_flash
4096,10234101760,2841640960.0,729808896.0,249856,39520.0,27648.0,0.2776639344262295,0.07131147540983607,0.15817110655737704,0.11065573770491803
16384,16374562816,3791650816.0,1321205760.0,999424,134656.0,94080.0,0.23155737704918034,0.08068647540983606,0.13473360655737704,0.0941342213114754
65536,40936407040,7591690240.0,3686793216.0,3997696,515200.0,359808.0,0.18545081967213115,0.09006147540983607,0.12887423155737704,0.09000384221311475
131072,73685532672,12658409472.0,6840909824.0,7995392,1022592.0,714112.0,0.1717896174863388,0.09283925318761384,0.12789766905737704,0.08931544569672131
262144,139183783936,22791847936.0,13149143040.0,15990784,2037376.0,1422720.0,0.1637536162005786,0.09447324011571842,0.12740938780737704,0.0889712474385246
524288,270180286464,43058724864.0,25765609472.0,31981568,4066944.0,2839936.0,0.15937034277198212,0.09536450571286637,0.12716524718237704,0.08879914830942623
1048576,532173291520,83592478720.0,50998542336.0,63963136,8126080.0,5674368.0,0.15707755359394704,0.09583070617906683,0.12704317686987704,0.08871309874487705
